program_name,round,best_program_size,best_executed_instructions,best_program_size_config,best_executed_instr_count_config
quickselect.bril,1,85,274,"{('main', 'pack'): True, ('quickselect', 'partition'): True}","{('main', 'pack'): True, ('quickselect', 'partition'): True, ('main', 'quickselect'): True}"
quickselect.bril,2,85,274,"{('main', 'pack'): True, ('quickselect', 'partition'): True}","{('main', 'pack'): True, ('quickselect', 'partition'): True, ('main', 'quickselect'): True}"
quickselect.bril,3,85,274,"{('main', 'pack'): True, ('quickselect', 'partition'): True}","{('main', 'pack'): True, ('quickselect', 'partition'): True, ('main', 'quickselect'): True}"
sieve.bril,1,69,3398,"{('printPrimesUpTo', 'printUnmarked'): True, ('printPrimesUpTo', 'populateTable'): True, ('main', 'printPrimesUpTo'): True, ('printPrimesUpTo', 'markMultiples'): True}","{('printPrimesUpTo', 'printUnmarked'): True, ('printPrimesUpTo', 'findNextP'): True, ('printPrimesUpTo', 'populateTable'): True, ('main', 'printPrimesUpTo'): True, ('printPrimesUpTo', 'markMultiples'): True}"
sieve.bril,2,69,3398,"{('printPrimesUpTo', 'printUnmarked'): True, ('printPrimesUpTo', 'populateTable'): True, ('main', 'printPrimesUpTo'): True, ('printPrimesUpTo', 'markMultiples'): True}","{('printPrimesUpTo', 'printUnmarked'): True, ('printPrimesUpTo', 'findNextP'): True, ('printPrimesUpTo', 'populateTable'): True, ('main', 'printPrimesUpTo'): True, ('printPrimesUpTo', 'markMultiples'): True}"
sieve.bril,3,69,3398,"{('printPrimesUpTo', 'printUnmarked'): True, ('printPrimesUpTo', 'populateTable'): True, ('main', 'printPrimesUpTo'): True, ('printPrimesUpTo', 'markMultiples'): True}","{('printPrimesUpTo', 'printUnmarked'): True, ('printPrimesUpTo', 'findNextP'): True, ('printPrimesUpTo', 'populateTable'): True, ('main', 'printPrimesUpTo'): True, ('printPrimesUpTo', 'markMultiples'): True}"
bubblesort.bril,1,67,230,"{('main', 'pack'): True, ('main', 'swap_cond'): True, ('main', 'print_array'): True}","{('main', 'pack'): True, ('main', 'swap_cond'): True, ('main', 'print_array'): True}"
bubblesort.bril,2,67,230,"{('main', 'pack'): True, ('main', 'swap_cond'): True, ('main', 'print_array'): True}","{('main', 'pack'): True, ('main', 'swap_cond'): True, ('main', 'print_array'): True}"
bubblesort.bril,3,67,230,"{('main', 'pack'): True, ('main', 'swap_cond'): True, ('main', 'print_array'): True}","{('main', 'pack'): True, ('main', 'swap_cond'): True, ('main', 'print_array'): True}"
primitive-root.bril,1,139,9847,"{('main', 'phi'): True, ('prime_factors', 'prepend'): True}","{('search_primitive', 'check_ord'): True, ('main', 'phi'): True, ('prime_factors', 'prime_factor'): True, ('modexp', 'rem'): True, ('main', 'search_primitive'): True, ('prime_factor', 'divides'): True, ('prime_factors', 'divides'): True, ('prime_factors', 'prepend'): True}"
primitive-root.bril,2,139,9847,"{('main', 'phi'): True, ('prime_factors', 'prepend'): True}","{('search_primitive', 'check_ord'): True, ('main', 'phi'): True, ('prime_factors', 'prime_factor'): True, ('modexp', 'rem'): True, ('main', 'search_primitive'): True, ('prime_factor', 'divides'): True, ('prime_factors', 'divides'): True, ('prime_factors', 'prepend'): True}"
primitive-root.bril,3,139,9847,"{('main', 'phi'): True, ('prime_factors', 'prepend'): True}","{('search_primitive', 'check_ord'): True, ('main', 'phi'): True, ('prime_factors', 'prime_factor'): True, ('modexp', 'rem'): True, ('main', 'search_primitive'): True, ('prime_factor', 'divides'): True, ('prime_factors', 'divides'): True, ('prime_factors', 'prepend'): True}"
adler32.bril,1,64,6787,"{('main', 'adler32'): True, ('main', 'fill_array'): True}","{('bitwise_or', 'mod'): True, ('main', 'adler32'): True, ('main', 'fill_array'): True, ('adler32', 'mod'): True}"
adler32.bril,2,64,6787,"{('main', 'adler32'): True, ('main', 'fill_array'): True, ('adler32', 'bitwise_or'): True, ('adler32', 'mod'): True}","{('bitwise_or', 'mod'): True, ('main', 'adler32'): True, ('main', 'fill_array'): True, ('adler32', 'bitwise_or'): True, ('adler32', 'mod'): True}"
adler32.bril,3,64,6787,"{('main', 'adler32'): True, ('main', 'fill_array'): True, ('adler32', 'bitwise_or'): True, ('adler32', 'mod'): True}","{('bitwise_or', 'mod'): True, ('main', 'adler32'): True, ('main', 'fill_array'): True, ('adler32', 'bitwise_or'): True, ('adler32', 'mod'): True}"
adj2csr.bril,1,112,55595,"{('main', 'randarray'): True, ('randarray', 'rand'): True, ('main', 'adj2csr'): True}","{('main', 'randarray'): True, ('main', 'printarray'): True, ('randarray', 'rand'): True, ('main', 'adj2csr'): True, ('main', 'zeroarray'): True}"
adj2csr.bril,2,112,55595,"{('main', 'randarray'): True, ('randarray', 'rand'): True, ('main', 'adj2csr'): True}","{('main', 'randarray'): True, ('main', 'printarray'): True, ('randarray', 'rand'): True, ('main', 'adj2csr'): True, ('main', 'zeroarray'): True}"
