program_name,best_program_size,best_executed_instructions,best_program_size_config,best_executed_instr_count_config
primitive-root.bril,145,9847,"{('prime_factors', 'divides'): False, ('main', 'prime_factors'): False, ('main', 'phi'): False, ('prime_factor', 'divides'): False, ('check_ord', 'modexp'): False, ('prime_factors', 'prepend'): False, ('modexp', 'rem'): False, ('main', 'search_primitive'): False, ('search_primitive', 'check_ord'): False, ('prime_factors', 'prime_factor'): False, ('modexp', 'modexp'): False}","{('prime_factors', 'divides'): True, ('main', 'prime_factors'): False, ('main', 'phi'): True, ('prime_factor', 'divides'): True, ('check_ord', 'modexp'): False, ('prime_factors', 'prepend'): True, ('modexp', 'rem'): True, ('main', 'search_primitive'): True, ('search_primitive', 'check_ord'): False, ('prime_factors', 'prime_factor'): False, ('modexp', 'modexp'): False}"
adler32.bril,66,6786,"{('main', 'adler32'): False, ('adler32', 'mod'): False, ('bitwise_or', 'mod'): False, ('main', 'fill_array'): False, ('adler32', 'bitwise_or'): False}","{('main', 'adler32'): False, ('adler32', 'mod'): True, ('bitwise_or', 'mod'): True, ('main', 'fill_array'): True, ('adler32', 'bitwise_or'): False}"
adj2csr.bril,115,55595,"{('main', 'randarray'): False, ('main', 'printarray'): False, ('main', 'zeroarray'): False, ('main', 'adj2csr'): False, ('randarray', 'rand'): False}","{('main', 'randarray'): True, ('main', 'printarray'): True, ('main', 'zeroarray'): True, ('main', 'adj2csr'): True, ('randarray', 'rand'): True}"
csrmv.bril,194,118886,"{('rand', 'xor'): False, ('main', 'print_arr'): False, ('main', 'gen_vec'): False, ('gen_vec', 'rand'): False, ('gen_vec', 'mod'): False, ('main', 'gen_uniform_csr'): False, ('rand', 'getbit'): False, ('gen_uniform_csr', 'mod'): False, ('gen_uniform_csr', 'rand'): False, ('main', 'csr_spmv'): False}","{('rand', 'xor'): True, ('main', 'print_arr'): True, ('main', 'gen_vec'): True, ('gen_vec', 'rand'): True, ('gen_vec', 'mod'): True, ('main', 'gen_uniform_csr'): True, ('rand', 'getbit'): False, ('gen_uniform_csr', 'mod'): True, ('gen_uniform_csr', 'rand'): True, ('main', 'csr_spmv'): True}"
dot-product.bril,54,87,"{('main', 'dot_product'): False}","{('main', 'dot_product'): True}"
major-elm.bril,51,46,"{('main', 'create_arr'): False}","{('main', 'create_arr'): True}"
max-subarray.bril,59,192,"{('main', 'max'): False, ('main', 'pack'): False}","{('main', 'max'): False, ('main', 'pack'): True}"
mat-mul.bril,104,1982896,"{('main', 'printarray'): False, ('main', 'randarray'): False, ('randarray', 'rand'): False, ('main', 'matmul'): False}","{('main', 'printarray'): True, ('main', 'randarray'): True, ('randarray', 'rand'): True, ('main', 'matmul'): True}"
fib.bril,31,120,"{}","{}"
vsmul.bril,46,81939,"{('randarray', 'rand'): False, ('main', 'randarray'): False}","{('randarray', 'rand'): True, ('main', 'randarray'): True}"
quicksort-hoare.bril,135,26036,"{('partition', 'swap'): False, ('main', 'is_nondecreasing'): False, ('main', 'randarray'): False, ('median_of_three', 'swap'): False, ('qsort', 'partition'): False, ('partition', 'median_of_three'): False, ('main', 'qsort'): False, ('randarray', 'rand'): False, ('qsort', 'qsort'): False}","{('partition', 'swap'): True, ('main', 'is_nondecreasing'): False, ('main', 'randarray'): True, ('median_of_three', 'swap'): True, ('qsort', 'partition'): True, ('partition', 'median_of_three'): False, ('main', 'qsort'): True, ('randarray', 'rand'): True, ('qsort', 'qsort'): False}"
quicksort.bril,85,254,"{('main', 'print_array'): False, ('qsort', 'partition'): False, ('main', 'qsort'): False, ('main', 'pack'): False, ('qsort', 'qsort'): False}","{('main', 'print_array'): True, ('qsort', 'partition'): True, ('main', 'qsort'): True, ('main', 'pack'): True, ('qsort', 'qsort'): False}"
two-sum.bril,120,86,"{('main', 'twoSum'): False, ('main', 'initArr'): False}","{('main', 'twoSum'): True, ('main', 'initArr'): True}"
eight-queens.bril,63,928262,"{('main', 'queen'): False, ('queen', 'valid'): False, ('queen', 'queen'): False}","{('main', 'queen'): False, ('queen', 'valid'): True, ('queen', 'queen'): False}"
binary-search.bril,76,66,"{('main', 'binary_search'): False, ('main', 'pack'): False, ('binary_search', 'binary_search'): False}","{('main', 'binary_search'): True, ('main', 'pack'): True, ('binary_search', 'binary_search'): False}"
